115 000 $,2 комнаты,1575 $ за м²,21 из 25,год постройки2015,кирпичные,73 / 37 / 15 м²,ул.  Малиновского, 4в
75 000 $,3 комнаты,680 $ за м²,11 из 25,*** not found ,*** not found ,110.27 / 58 / - м²,ул. Семьи Сосниных,
140 000 $,3 комнаты,1400 $ за м²,5 из 18,год постройки2011,монолитно-каркасные,100 / 56 / 18 м²,просп. Лобановского (Краснозвездный), 150в
140 000 $,2 комнаты,2414 $ за м²,5 из 5,год постройки1902,кирпичные,58 / 32 / 8 м²,ул. Руставели,36
160 000 $,2 комнаты,2025 $ за м²,2 из 10,год постройки2014,монолитно-каркасные,79 / 36 / 12 м²,ул. Ломоносова, 71д
870 000 $,3 комнаты,6273 $ за м²,2 из 22,год постройки2009,монолитно-каркасные,138.7 / 77.6 / 18 м²,ул. Институтская, 18а
14 883 863 грн,5 комнат,73 902 грн за м²,21 из 23,год постройки2018,монолитно-каркасные,201.4 / 115 / 25 м²,ул. Антоновича (Горького),74
220 000 $,2 комнаты,2529 $ за м²,4 из 23,год постройки2012,монолитно-каркасные,87 / 43 / 21 м²,Днепровская наб., 14б
133 000 $,1 комната,3325 $ за м²,6 из 20,год постройки2017,монолитно-каркасные,40 / 10 / 19 м²,ул. Предславинская,53
69 000 $,2 комнаты,1353 $ за м²,2 из 9,год постройки1980,кирпичные,51 / 29 / 8 м²,ул. Коперника, 16б
169 999 $,1 комната,3542 $ за м²,8 из 19,год постройки2012,монолитно-каркасные,48 / 20 / 17 м²,ул. Драгомирова,12
212 000 $,2 комнаты,2494 $ за м²,2 из 17,*** not found ,кирпичные,85 / 40.1 / 14.8 м²,ул. Драгомирова,
83 500 $,2 комнаты,1099 $ за м²,13 из 25,год постройки2018,монолитно-каркасные,76 / 33.4 / 15.6 м²,ул. Ревуцкого, 40г
75 000 $,2 комнаты,1339 $ за м²,12 из 12,год постройки1985,кирпичные,56 / 32.9 / 8.2 м²,ул. Пожарского, 8а
65 000 $,1 комната,1711 $ за м²,12 из 25,год постройки2017,панельные,38 / 16 / 12 м²,ул. Гмыри, 12б
82 000 $,3 комнаты,1171 $ за м²,5 из 9,год постройки1981,утепленная панель,70 / 44 / 8.5 м²,ул. Приозерная, 6а
207 000 $,3 комнаты,2010 $ за м²,16 из 18,год постройки2016,монолитно-каркасные,103 / 63 / 15 м²,ул. Коперника,3
51 990 $,2 комнаты,921 $ за м²,4 из 6,*** not found ,<span>6 декабря 2019 г.</span>,56.44 / 29 / 10.24 м²,ул. Стеценко,
57 999 $,3 комнаты,841 $ за м²,3 из 10,год постройки1987,утепленная панель,69 / 42 / 7.4 м²,ул. Каштановая,5
57 000 $,2 комнаты,1203 $ за м²,21 из 24,*** not found ,<span>18 января</span>,47.39 / 16.21 / 17.03 м²,просп. Правды,
95 000 $,1 комната,1900 $ за м²,3 из 23,год постройки2016,монолитно-каркасные,50 / 28 / 20 м²,ул. Трускавецкая, 4б
50 000 $,3 комнаты,781 $ за м²,8 из 9,год постройки1976,*** not found ,64 / 45 / 8 м²,ул. Наумова, 37а
95 000 $,4 комнаты,990 $ за м²,5 из 5,год постройки1960,кирпичные,96 / 64 / 8.4 м²,просп. Лобановского (Краснозвездный),53
46 860 $,2 комнаты,1019 $ за м²,5 из 5,год постройки1966,блочные,46 / 32 / 7 м²,ул. Салютная,8
38 500 $,2 комнаты,875 $ за м²,3 из 5,год постройки1964,панельные,44 / 28 / 6 м²,ул. Василенко, 23б
110 000 $,3 комнаты,1100 $ за м²,7 из 12,год постройки2008,монолитно-каркасные,100 / 50 / 20 м²,просп. Палладина, 25а
269 000 $,5 комнат,1121 $ за м²,14 из 15,*** not found ,<span>14 октября 2020 г.</span>,240 / 125 / 26 м²,ул. Мит. А. Шептицкого (Анатолия Луначарского),
1 983 000 грн,2 комнаты,27 503 грн за м²,6 из 25,*** not found ,<span>22 октября 2020 г.</span>,72.1 / 35.59 / 12.84 м²,Балтийский пер.,
119 000 $,2 комнаты,1587 $ за м²,19 из 25,год постройки2007,монолитно-каркасные,75 / 35 / 15 м²,Днепровская наб.,26
210 000 $,3 комнаты,2692 $ за м²,1 из 5,год постройки1916,кирпичные,78 / 50 / 10 м²,ул. Станиславского,3
310 000 $,3 комнаты,2460 $ за м²,7 из 16,*** not found ,кирпичные,126 / 64.6 / 20.8 м²,ул. Драгомирова,
93 000 $,3 комнаты,1000 $ за м²,12 из 18,*** not found ,<span>2 ноября 2020 г.</span>,93 / 50 / 13 м²,просп. Правды,
98 000 $,2 комнаты,1556 $ за м²,6 из 16,год постройки2013,панельные,63 / 32 / 12 м²,ул. Максимовича (Онуфрия Трутенко), 7в
78 000 $,2 комнаты,1773 $ за м²,1 из 4,год постройки2019,монолитно-каркасные,44 / 25 / 4 м²,ЖК PARKLAND,
68 000 $,2 комнаты,1001 $ за м²,24 из 26,*** not found ,*** not found ,67.92 / 28.54 / 17.16 м²,ул. Причальная,
77 000 $,1 комната,1481 $ за м²,11 из 17,год постройки2009,монолитно-каркасные,52 / 21 / 14 м²,просп. Победы (Брест-Литовский),125
176 000 $,3 комнаты,1778 $ за м²,5 из 25,год постройки2017,монолитно-каркасные,99 / 48.1 / 15.3 м²,ул. Богдановская, 7в
5 572 000 грн,3 комнаты,58 042 грн за м²,9 из 12,*** not found ,кирпичные,96 / 50 / 17 м²,Тверской туп.,
129 000 $,3 комнаты,1985 $ за м²,3 из 4,*** not found ,*** not found ,65 м²,ул. Набережно-Крещатицкая,
136 000 $,2 комнаты,2720 $ за м²,15 из 25,год постройки2016,монолитно-каркасные,50 / - / 21 м²,ул. Липковского (Урицкого), 16в
71 000 $,3 комнаты,934 $ за м²,3 из 9,год постройки1986,утепленная панель,76 / 41 / 9 м²,просп. Правды,8
108 000 $,1 комната,2384 $ за м²,15 из 25,год постройки2019,монолитно-каркасные,45.3 м²,Днепровская наб., 16г
175 000 $,4 комнаты,1768 $ за м²,9 из 9,год постройки1977,кирпичные,99 / 50 / 25 м²,ул. Тютюнника (Анри Барбюса), 5б
45 006 $,3 комнаты,602 $ за м²,17 из 17,*** not found ,<span>31 января</span>,74.7 / 53.2 / - м²,3-комнатная квартира 74,
78 000 $,2 комнаты,1322 $ за м²,22 из 25,год постройки2018,монолитно-каркасные,59 м²,просп. Правды, 41д
65 000 $,3 комнаты,890 $ за м²,1 из 9,год постройки1983,утепленная панель,73 / 42 / 8 м²,ул. Закревского, 39а
3 396 000 грн,2 комнаты,54 774 грн за м²,14 из 25,*** not found ,<span>25 ноября 2020 г.</span>,62 / - / 20 м²,Тверской туп.,
68 899 $,3 комнаты,907 $ за м²,5 из 5,год постройки1963,кирпичные,76 / 50 / 10 м²,ул. Туполева, 16ж
205 000 $,2 комнаты,2697 $ за м²,12 из 23,год постройки2014,монолитно-каркасные,76 / 20 / 6 м²,ул. Глубочицкая, 32а
211 000 $,3 комнаты,1005 $ за м²,4-этажный дом,год постройки1906,кирпичные,210 / 69 / 15 м²,ул. Сечевых Стрельцов (Артёма),10
36 500 $,1 комната,1106 $ за м²,5 из 5,год постройки1962,кирпичные,33 / 18 / 7 м²,ул. Вышгородская,44
3 176 715 грн,1 комната,47 556 грн за м²,16 из 26,*** not found ,*** not found ,66.8 / 17.96 / 10.36 м²,ул. Бойчука (Киквидзе),
155 000 $,2 комнаты,2500 $ за м²,14 из 24,год постройки2017,монолитно-каркасные,62 / 40 / 10 м²,ул. Предславинская,57
109 000 $,3 комнаты,1068 $ за м²,13 из 25,год постройки2009,монолитно-каркасные,102.1 / 65.8 / 13.9 м²,ул. Вадима  Гетьмана, 1а
120 000 $,3 комнаты,1091 $ за м²,3 из 16,год постройки2002,утепленная панель,110 / 54 / 13 м²,ул. Драгоманова,12
55 000 $,2 комнаты,1078 $ за м²,10 из 10,год постройки1990,утепленная панель,51 / 31 / 8 м²,ул. Нежинская,7
48 000 $,2 комнаты,1091 $ за м²,7 из 9,год постройки1971,кирпичные,44 / 30 / 7 м²,ул. Кучера,8
235 000 $,2 комнаты,2582 $ за м²,6 из 24,год постройки2010,монолитно-каркасные,91 / 44 / 21 м²,просп. Голосеевский (40-летия Октября),62
41 000 $,1 комната,1464 $ за м²,9 из 9,год постройки1969,*** not found ,28 / 17 / 5 м²,ул. Ильенко (Мельникова),83
143 000 $,1 комната,2554 $ за м²,10 из 11,*** not found ,<span>7 декабря 2020 г.</span>,56 м²,ул. Бойчука (Киквидзе),
65 000 $,3 комнаты,966 $ за м²,9 из 9,год постройки1983,кирпичные,67.3 / 39.7 / 7 м²,ул. Половецкая,16
500 000 $,3 комнаты,5000 $ за м²,2 из 5,год постройки1892,кирпичные,100 / 45 / 30 м²,ул. Владимирская,45
94 000 $,3 комнаты,1146 $ за м²,3 из 5,*** not found ,кирпичные,82 / 50 / 11 м²,ул. Гончара,77
280 000 $,3 комнаты,2295 $ за м²,3 из 24,год постройки2006,монолитно-каркасные,122 м²,ул. Антоновича (Горького),72
67 500 $,1 комната,1500 $ за м²,5 из 9,год постройки2017,монолитно-каркасные,45 / 19 / 15 м²,ул. Метрологическая, 7б
72 000 $,2 комнаты,960 $ за м²,*** not found ,*** not found ,монолитно-каркасные,75 м²,ул. Калнышевского (Михаила Майорова),7
54 000 $,1 комната,1588 $ за м²,29 из 33,*** not found ,<span>26 января</span>,34 / - / 18 м²,ул. Заречная,
74 000 $,2 комнаты,1609 $ за м²,2 из 8,*** not found ,*** not found ,46 / 30 / 6 м²,просп. Тычины,
130 000 $,2 комнаты,1300 $ за м²,16 из 24,год постройки2008,монолитно-каркасные,100 / 46.7 / 17 м²,ул. Саперно-Слободская,22
110 000 $,3 комнаты,1111 $ за м²,4 из 25,год постройки2010,монолитно-каркасные,99 / 60 / 15 м²,просп. Комарова,26
180 000 $,3 комнаты,2400 $ за м²,3 из 8,год постройки1990,кирпичные,75 / 41 / 9 м²,ул. Б. Житомирская,27
69 000 $,2 комнаты,1113 $ за м²,21 из 25,год постройки2018,монолитно-каркасные,62 м²,ул. Каховская,60
205 000 $,2 комнаты,2697 $ за м²,12 из 23,год постройки2014,монолитно-каркасные,76 / 20 / 6 м²,ул. Глубочицкая, 32а
211 000 $,3 комнаты,1005 $ за м²,4-этажный дом,год постройки1906,кирпичные,210 / 69 / 15 м²,ул. Сечевых Стрельцов (Артёма),10
36 500 $,1 комната,1106 $ за м²,5 из 5,год постройки1962,кирпичные,33 / 18 / 7 м²,ул. Вышгородская,44
3 176 715 грн,1 комната,47 556 грн за м²,16 из 26,*** not found ,*** not found ,66.8 / 17.96 / 10.36 м²,ул. Бойчука (Киквидзе),
155 000 $,2 комнаты,2500 $ за м²,14 из 24,год постройки2017,монолитно-каркасные,62 / 40 / 10 м²,ул. Предславинская,57
109 000 $,3 комнаты,1068 $ за м²,13 из 25,год постройки2009,монолитно-каркасные,102.1 / 65.8 / 13.9 м²,ул. Вадима  Гетьмана, 1а
120 000 $,3 комнаты,1091 $ за м²,3 из 16,год постройки2002,утепленная панель,110 / 54 / 13 м²,ул. Драгоманова,12
55 000 $,2 комнаты,1078 $ за м²,10 из 10,год постройки1990,утепленная панель,51 / 31 / 8 м²,ул. Нежинская,7
48 000 $,2 комнаты,1091 $ за м²,7 из 9,год постройки1971,кирпичные,44 / 30 / 7 м²,ул. Кучера,8
235 000 $,2 комнаты,2582 $ за м²,6 из 24,год постройки2010,монолитно-каркасные,91 / 44 / 21 м²,просп. Голосеевский (40-летия Октября),62
41 000 $,1 комната,1464 $ за м²,9 из 9,год постройки1969,*** not found ,28 / 17 / 5 м²,ул. Ильенко (Мельникова),83
143 000 $,1 комната,2554 $ за м²,10 из 11,*** not found ,<span>7 декабря 2020 г.</span>,56 м²,ул. Бойчука (Киквидзе),
65 000 $,3 комнаты,966 $ за м²,9 из 9,год постройки1983,кирпичные,67.3 / 39.7 / 7 м²,ул. Половецкая,16
500 000 $,3 комнаты,5000 $ за м²,2 из 5,год постройки1892,кирпичные,100 / 45 / 30 м²,ул. Владимирская,45
94 000 $,3 комнаты,1146 $ за м²,3 из 5,*** not found ,кирпичные,82 / 50 / 11 м²,ул. Гончара,77
280 000 $,3 комнаты,2295 $ за м²,3 из 24,год постройки2006,монолитно-каркасные,122 м²,ул. Антоновича (Горького),72
67 500 $,1 комната,1500 $ за м²,5 из 9,год постройки2017,монолитно-каркасные,45 / 19 / 15 м²,ул. Метрологическая, 7б
72 000 $,2 комнаты,960 $ за м²,*** not found ,*** not found ,монолитно-каркасные,75 м²,ул. Калнышевского (Михаила Майорова),7
54 000 $,1 комната,1588 $ за м²,29 из 33,*** not found ,<span>26 января</span>,34 / - / 18 м²,ул. Заречная,
74 000 $,2 комнаты,1609 $ за м²,2 из 8,*** not found ,*** not found ,46 / 30 / 6 м²,просп. Тычины,
130 000 $,2 комнаты,1300 $ за м²,16 из 24,год постройки2008,монолитно-каркасные,100 / 46.7 / 17 м²,ул. Саперно-Слободская,22
110 000 $,3 комнаты,1111 $ за м²,4 из 25,год постройки2010,монолитно-каркасные,99 / 60 / 15 м²,просп. Комарова,26
180 000 $,3 комнаты,2400 $ за м²,3 из 8,год постройки1990,кирпичные,75 / 41 / 9 м²,ул. Б. Житомирская,27
69 000 $,2 комнаты,1113 $ за м²,21 из 25,год постройки2018,монолитно-каркасные,62 м²,ул. Каховская,60
120 000 $,3 комнаты,1667 $ за м²,6 из 6,год постройки1994,кирпичные,72 / 42 / 16 м²,ул. Оболонская,47
150 000 $,3 комнаты,1290 $ за м²,7 из 22,год постройки2016,монолитно-каркасные,116.3 / 58 / 24 м²,ул. Красноткацкая, 4/39а
750 000 $,4 комнаты,4717 $ за м²,10,год постройки2014,монолитно-каркасные,159 м²,ул. Драгомирова,20
75 000 $,3 комнаты,987 $ за м²,2 из 5,год постройки1959,кирпичные,76 / 58 / 9 м²,ул. Автозаводская, 27в
53 000 $,1 комната,1120 $ за м²,5 из 16,год постройки1990,утепленная панель,47.32 / 27 / 9 м²,ул. Тираспольская,
42 500 $,2 комнаты,966 $ за м²,2 из 5,год постройки1962,кирпичные,44 / 30 / 7 м²,ул. Щербаковского (Щербакова), 68а
103 000 $,3 комнаты,1084 $ за м²,2 из 13,год постройки2017,монолитно-каркасные,95 / 45 / 20 м²,просп. Правды,45
650 000 $,5 комнат,2708 $ за м²,23 из 23,год постройки2013,монолитно-каркасные,240 / 180 / 20 м²,просп. Голосеевский (40-летия Октября),60
56 000 $,1 комната,1556 $ за м²,2 из 15,*** not found ,<span>20 февраля 2020 г.</span>,36 / 21 / 14 м²,ул. Максимовича (Онуфрия Трутенко),
90 000 $,1 комната,1800 $ за м²,7 из 25,год постройки1969,кирпичные,50 / - / 20 м²,ул. Бойчука (Киквидзе),41
77 000 $,2 комнаты,1085 $ за м²,11 из 16,*** not found ,<span>28 декабря 2020 г.</span>,71 / 32 / 17 м²,ул. Тираспольская,
115 000 $,2 комнаты,1901 $ за м²,4 из 5,год постройки2020,*** not found ,60.51 / 16 / 24.9 м²,ул. Университетская,
120 000 $,2 комнаты,1488 $ за м²,6 из 22,*** not found ,<span>22 сентября 2019 г.</span>,80.66 / 42 / 19.8 м²,просп. Оболонский,
130 000 $,3 комнаты,1057 $ за м²,9 из 27,год постройки2004,монолитно-каркасные,123 / 75 / 15 м²,ул. Ахматовой, 13г
85 000 $,2 комнаты,1149 $ за м²,4 из 22,год постройки2008,утепленная панель,74 / 29.5 / 14.4 м²,просп. Правды, 31а
140 000 $,2 комнаты,1728 $ за м²,18 из 25,год постройки2018,монолитно-каркасные,81 / 31 / 25 м²,ул. Заречная, 2к2
45 500 $,1 комната,1058 $ за м²,5 из 25,год постройки2013,утепленная панель,43 / 18 / 10 м²,ул. Закревского,97
63 232 $,3 комнаты,753 $ за м²,3 из 18,*** not found ,<span>12 февраля</span>,84 / 40 / 8.9 м²,ул. Бориспольская,
95 000 $,2 комнаты,2065 $ за м²,3 из 24,год постройки2017,монолитно-каркасные,46 м²,ул. Герцена,35
55 000 $,1 комната,1000 $ за м²,5 из 24,год постройки2020,панельные,55 / 18 / 12 м²,Балтийский пер.,
186 900 $,3 комнаты,1374 $ за м²,23 из 25,год постройки2011,монолитно-каркасные,136 / 80 / 16 м²,ул. Шаповала (Механизаторов), 2а
34 200 $,1 комната,1605 $ за м²,3 из 28,*** not found ,*** not found ,21.31 / 15 / 5 м²,ул. Глубочицкая,
234 899 $,3 комнаты,1727 $ за м²,8 из 9,год постройки2018,*** not found ,136 / 50 / 34 м²,ул. Салютная,
55 000 $,1 комната,1341 $ за м²,9 из 25,год постройки2019,монолитно-каркасные,41 / - / 10 м²,ул. Ревуцкого,
136 000 $,2 комнаты,1915 $ за м²,3 из 10,год постройки2019,монолитно-каркасные,71 / 33.1 / 14.9 м²,ул. Набережно-Рыбальская,3
139 000 $,2 комнаты,2439 $ за м²,3 из 6,год постройки1957,кирпичные,57 / 20 / 33 м²,Марьяненко пер., 11/12
210 000 $,3 комнаты,1409 $ за м²,7 из 12,год постройки2001,кирпичные,149 / 87 / 16 м²,ул. Павловская,18
195 000 $,1 комната,3900 $ за м²,5 из 16,год постройки2017,монолитно-каркасные,50 / 17 / 15 м²,ул. Саперное Поле,3
119 000 $,3 комнаты,1587 $ за м²,3 из 25,год постройки2018,панельные,75 / 46 / 11 м²,ул. Русовой, 5б
410 000 $,3 комнаты,4457 $ за м²,11 из 26,год постройки2013,монолитно-каркасные,92 м²,ул. Драгомирова,16
93 000 $,2 комнаты,1550 $ за м²,17 из 22,год постройки2007,утепленная панель,60 / 30 / 11.1 м²,ул. Яблонской,6
137 634 $,2 комнаты,1939 $ за м²,19 из 19,*** not found ,*** not found ,70.99 / 47.72 / 11.26 м²,ул. Гончара,
115 000 $,2 комнаты,1901 $ за м²,4 из 5,год постройки2020,*** not found ,60.51 / 16 / 24.9 м²,ул. Университетская,
85 000 $,1 комната,1545 $ за м²,19 из 25,*** not found ,<span>6 июня 2020 г.</span>,55 / - / 16 м²,Днепровская наб.,
130 000 $,3 комнаты,1566 $ за м²,6 из 10,год постройки2013,монолитно-каркасные,83 / 48 / 12 м²,ул. Регенераторная, 4к4
113 000 $,1 комната,2055 $ за м²,4 из 20,год постройки2015,монолитно-каркасные,55 / 20 / 14 м²,ул. Демеевская,14
39 500 $,1 комната,1097 $ за м²,23 из 25,*** not found ,<span>4 ноября 2020 г.</span>,36 / - / 10 м²,ул. Новополевая,
68 000 $,3 комнаты,1046 $ за м²,9 из 9,год постройки1963,кирпичные,65 / 40 / 8 м²,ул. Бастионная, 1/36
155 000 $,3 комнаты,1384 $ за м²,3 из 25,год постройки2019,монолитно-каркасные,112 / 43 / 26 м²,ул.  Сверстюка (Марины Расковой),6
110 000 $,2 комнаты,2200 $ за м²,3 из 3,год постройки2013,монолитно-каркасные,50 / 32.1 / 10 м²,просп. Героев Сталинграда, 2д
75 000 $,2 комнаты,1103 $ за м²,12 из 24,*** not found ,<span>18 февраля</span>,68 / 28.78 / 19.58 м²,просп. Правды,
142 000 $,3 комнаты,1671 $ за м²,2 из 15,год постройки2018,монолитно-каркасные,85 / 42 / 18 м²,просп. Правды,43
80 000 $,2 комнаты,1569 $ за м²,6 из 9,год постройки1981,утепленная панель,51 / 30 / 7 м²,просп. Героев Сталинграда,26
43 000 $,2 комнаты,935 $ за м²,4 из 4,*** not found ,<span>30 июня 2020 г.</span>,46 / 22 / 16 м²,ул. Яблочная,
248 000 $,5 комнат,1198 $ за м²,10 из 14,год постройки2015,монолитно-каркасные,207 / 95 / 48 м²,ул. Коновальца (Щорса), 36е
280 000 $,3 комнаты,2154 $ за м²,8 из 11,год постройки2005,монолитно-каркасные,130 / 73 / 14 м²,просп. Героев Сталинграда,4
209 000 $,2 комнаты,2580 $ за м²,2 из 10,год постройки2003,монолитно-каркасные,81 / 40 / 15 м²,ул. Мирного,14
58 990 $,1 комната,1439 $ за м²,3 из 32,*** not found ,<span>6 мая 2020 г.</span>,41 / 13 / 17 м²,ул.  Заболотного,
111 000 $,1 комната,2220 $ за м²,23 из 25,год постройки2019,монолитно-каркасные,50 / 29 / 21 м²,ул.  Сверстюка (Марины Расковой),6
97 000 $,3 комнаты,1796 $ за м²,2 из 9,год постройки1971,кирпичные,54 / 41 / 6 м²,ул. Предславинская,14
68 000 $,3 комнаты,819 $ за м²,7 из 25,*** not found ,*** not found ,83 / - / 13 м²,ул.  Заболотного,
184 900 $,3 комнаты,2283 $ за м²,3 из 13,год постройки1980,кирпичные,81 / 50 / 9 м²,ул. Омельяновича-Павленко (Суворова),11
61 500 $,2 комнаты,1398 $ за м²,3 из 5,год постройки1959,кирпичные,44 / 30 / 6 м²,ул. Ереванская,15
111 000 $,3 комнаты,1233 $ за м²,2 из 25,год постройки2014,монолитно-каркасные,90 / 47 / 14 м²,ул. Чавдар,4
190 700 $,2 комнаты,2414 $ за м²,11 из 11,*** not found ,*** not found ,79 / - / 14 м²,ул. Бойчука (Киквидзе),
53 000 $,1 комната,1233 $ за м²,21 из 24,*** not found ,*** not found ,43 / 13.61 / 16.84 м²,просп. Правды,
69 000 $,2 комнаты,1353 $ за м²,2 из 9,год постройки1980,кирпичные,51 / 29 / 8 м²,ул. Коперника, 16б
169 000 $,4 комнаты,1340 $ за м²,7 из 8,год постройки2019,монолитно-каркасные,126.1 / 75.2 / 17 м²,ул. Лебедева,
95 000 $,2 комнаты,1730 $ за м²,10 из 16,год постройки1993,утепленная панель,54.9 / 29 / 8.5 м²,ул. Драгоманова, 40а
110 000 $,3 комнаты,1000 $ за м²,13 из 18,год постройки2003,монолитно-каркасные,110 / 52 / 13 м²,ул. Ахматовой,31
5 880 000 грн,5 комнат,55 472 грн за м²,22 из 25,год постройки2017,монолитно-каркасные,106 / 46.5 / 34.2 м²,просп. Голосеевский (40-летия Октября), 95а
99 999 $,3 комнаты,1389 $ за м²,5 из 22,год постройки1996,кирпичные,72 / 47 / 9 м²,ул. Панельная,3
327 000 $,4 комнаты,2680 $ за м²,17 из 20,*** not found ,<span>9 февраля</span>,122 м²,ул. Сечевых Стрельцов (Артёма),
