Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,publish_date
140000.0,2,2258.0,7,9,1969,62.0,47.0,9.0,Омеляновича-Павленка,3 вересня 2020 р.
105000.0,4,847.0,25,26,2018,124.0,71.0,16.0,,7 жовтня 2020 р.
175000.0,3,1786.0,25,26,2010,98.0,None,None,Ованеса Туманяна,1 жовтня 2020 р.
30970.0,1,1106.0,12,13,2013,28.0,13.0,5.0,Петропавлівська,1 лютого
82000.0,2,1281.0,18,26,None,64.0,None,None,Дніпровська,*** not found
168535.7,3,1872.6,4,9,1966,90.0,45.0,10.0,Саксаганського,28 жовтня 2020 р.
4500000.0,4,14610.0,18,21,2011,308.0,None,None,Івана Мазепи,19 жовтня 2020 р.
135000.0,2,2077.0,16,23,2012,65.0,25.0,18.0,Дніпровська,1 вересня 2020 р.
120000.0,1,2500.0,8,25,2012,48.0,18.0,16.0,Ділова,12 жовтня 2020 р.
57500.0,3,625.0,9,9,1970,92.0,None,None,Новодарницька,5 жовтня 2020 р.
98000.0,2,1633.0,21,34,2014,60.0,41.0,27.0,Ревуцького,24 січня
170000.0,3,1735.0,16,22,2018,98.0,48.0,35.0,Липківського,8 липня 2020 р.
320000.0,5,1963.0,23,25,2017,163.0,100.0,14.0,Бендукідзе,11 січня
65000.0,1,2600.0,1,3,None,25.0,20.0,3.0,Введенська,30 листопада 2020 р.
125000.0,2,2778.0,6,9,1965,45.0,None,None,Виноградний,11 лютого
48000.0,1,849.0,22,25,None,None,40.0,10.0,Кайсарова,*** not found
70000.0,1,1273.0,26,27,2004,55.0,22.0,12.0,Ахматової,3 лютого
75000.0,3,1005.0,4,26,None,None,None,None,Радченка,*** not found
84000.0,2,1273.0,6,26,None,66.0,None,18.0,Дніпровська,*** not found
175000.0,1,1725.8,7,25,2012,None,None,None,Ділова,21 січня
63000.0,3,900.0,7,10,1987,70.0,44.0,None,Бориспільська,16 січня
390000.0,3,3000.0,11,28,2013,130.0,48.0,66.0,Болсуновська,12 березня 2018 р.
335000.0,3,3160.0,24,28,2017,106.0,55.0,24.0,Українки,20 лютого
320000.0,3,3137.0,15,24,2016,102.0,70.0,20.0,Антонова,19 червня 2020 р.
140000.0,2,2258.0,7,9,1969,62.0,47.0,9.0,Омеляновича-Павленка,3 вересня 2020 р.
105000.0,4,847.0,25,26,2018,124.0,71.0,16.0,,7 жовтня 2020 р.
175000.0,3,1786.0,25,26,2010,98.0,None,None,Ованеса Туманяна,1 жовтня 2020 р.
30970.0,1,1106.0,12,13,2013,28.0,13.0,5.0,Петропавлівська,1 лютого
82000.0,2,1281.0,18,26,None,64.0,None,None,Дніпровська,*** not found
168535.7,3,1872.6,4,9,1966,90.0,45.0,10.0,Саксаганського,28 жовтня 2020 р.
4500000.0,4,14610.0,18,21,2011,308.0,None,None,Івана Мазепи,19 жовтня 2020 р.
135000.0,2,2077.0,16,23,2012,65.0,25.0,18.0,Дніпровська,1 вересня 2020 р.
120000.0,1,2500.0,8,25,2012,48.0,18.0,16.0,Ділова,12 жовтня 2020 р.
57500.0,3,625.0,9,9,1970,92.0,None,None,Новодарницька,5 жовтня 2020 р.
98000.0,2,1633.0,21,34,2014,60.0,41.0,27.0,Ревуцького,24 січня
170000.0,3,1735.0,16,22,2018,98.0,48.0,35.0,Липківського,8 липня 2020 р.
320000.0,5,1963.0,23,25,2017,163.0,100.0,14.0,Бендукідзе,11 січня
65000.0,1,2600.0,1,3,None,25.0,20.0,3.0,Введенська,30 листопада 2020 р.
125000.0,2,2778.0,6,9,1965,45.0,None,None,Виноградний,11 лютого
48000.0,1,849.0,22,25,None,None,40.0,10.0,Кайсарова,*** not found
70000.0,1,1273.0,26,27,2004,55.0,22.0,12.0,Ахматової,3 лютого
75000.0,3,1005.0,4,26,None,None,None,None,Радченка,*** not found
84000.0,2,1273.0,6,26,None,66.0,None,18.0,Дніпровська,*** not found
175000.0,1,1725.8,7,25,2012,None,None,None,Ділова,21 січня
63000.0,3,900.0,7,10,1987,70.0,44.0,None,Бориспільська,16 січня
390000.0,3,3000.0,11,28,2013,130.0,48.0,66.0,Болсуновська,12 березня 2018 р.
335000.0,3,3160.0,24,28,2017,106.0,55.0,24.0,Українки,20 лютого
320000.0,3,3137.0,15,24,2016,102.0,70.0,20.0,Антонова,19 червня 2020 р.
118000.0,2,1311.0,15,25,1959,90.0,41.0,13.0,Науки,18 травня 2020 р.
159990.0,4,1437.0,6,10,2016,None,None,30.0,Метрологічна,30 листопада 2020 р.
85000.0,3,1417.0,2,5,1961,60.0,44.0,6.0,Дружби Народів,23 вересня 2020 р.
155022.2,1,2541.3,None,None,None,61.0,None,None,*** not found,*** not found
590000.0,3,5900.0,None,None,None,100.0,None,None,Драгомирова,23 квітня 2020 р.
84000.0,2,1333.0,2,16,2016,63.0,32.0,15.0,Данченка,21 травня 2020 р.
35000.0,2,778.0,1,2,None,45.0,None,None,Кримська,*** not found
63000.0,2,969.0,4,25,None,65.0,31.0,13.0,Новопольова,*** not found
40000.0,2,870.0,3,5,1963,46.0,30.0,8.0,Туполєва,8 лютого
42654.8,1,1375.9,None,None,None,31.0,None,None,*** not found,*** not found
60000.0,1,1463.0,2,26,None,41.0,None,None,Дніпровська,*** not found
130000.0,2,1625.0,6,25,2010,80.0,None,14.0,Перемоги,17 лютого
346500.0,2,4500.0,7,24,2019,77.0,38.0,20.0,Івана Федорова,7 липня 2020 р.
46998.0,2,1000.0,5,5,1968,47.0,35.0,8.0,Братиславська,27 листопада 2020 р.
10092.1,1,672.8,None,None,None,15.0,None,None,*** not found,*** not found
29256.6,1,978.5,1,5,None,None,None,None,Червоноткацька,*** not found
166000.0,1,3532.0,2,9,None,47.0,22.0,16.0,Златоустівська,*** not found
115000.0,4,1369.0,5,9,1970,84.0,35.0,9.0,Бойченка,15 лютого 2014 р.
298000.0,3,2249.0,11,23,2016,None,None,None,Трускавецька,12 січня
43100.0,1,1390.0,8,26,2018,31.0,16.0,5.0,Каховська,24 листопада 2020 р.
179900.0,4,1475.0,19,27,2010,122.0,None,None,Лобановського,23 жовтня 2019 р.
96255.3,1,1504.0,None,None,None,64.0,None,None,*** not found,*** not found
56500.0,3,926.0,6,9,1970,61.0,40.0,7.0,Курчатова,12 листопада 2020 р.
110000.0,1,1930.0,19,25,2008,57.0,None,None,Голосіївська,29 жовтня 2020 р.
47000.0,1,1146.0,5,16,1990,41.0,10.0,16.0,Тираспольська,28 січня
90000.0,2,2195.0,1,9,None,41.0,28.0,6.0,Лаврська,17 лютого
44980.0,1,1249.0,19,25,2017,36.0,16.0,14.0,Правди,26 січня
58000.0,4,921.0,5,9,1968,63.0,40.0,7.0,Миколайчука,19 лютого
63000.0,3,863.0,5,9,1982,73.0,41.0,9.0,Порика,22 лютого
29256.6,1,978.5,1,5,None,None,None,None,Червоноткацька,*** not found
136000.0,1,3022.0,6,23,2015,45.0,15.0,17.0,Маккейна,8 листопада 2020 р.
73860.0,2,1319.0,5,9,None,56.0,30.0,9.0,Йорданська,11 листопада 2020 р.
160000.0,2,2712.0,18,24,2019,59.0,None,20.0,Тютюнника,17 серпня 2020 р.
135000.0,3,1588.0,8,10,2015,85.0,49.0,12.0,Регенераторна,2 лютого
120000.0,1,2400.0,12,23,2015,50.0,18.0,15.0,Зарічна,21 жовтня 2020 р.
58990.0,1,1450.0,3,34,None,None,16.0,10.0,Заболотного,*** not found
90000.0,4,1059.0,4,10,1994,85.0,None,None,Курнатовського,20 лютого
187000.0,3,None,2,5,1934,None,None,None,Інститутська,3 листопада 2016 р.
88000.0,2,1222.0,16,25,2020,72.0,None,15.0,Маланюка,*** not found
102000.0,2,1619.0,10,16,2019,63.0,26.0,22.0,Гречка,*** not found
110000.0,1,1833.0,14,24,2018,60.0,21.0,15.0,Липківського,2 вересня 2020 р.
160000.0,2,3077.0,3,24,2015,52.0,13.0,18.0,Маккейна,11 серпня 2016 р.
225000.0,5,1500.0,23,24,2008,150.0,78.0,18.0,Григоренка,13 листопада 2020 р.
75000.0,2,1562.0,4,9,1966,48.0,30.0,7.0,Коновальця,29 січня
59860.0,3,798.0,3,9,None,75.0,40.0,9.0,Закревського,24 лютого
43161.0,2,732.0,13,18,None,59.0,30.0,16.0,*** not found,вчора о 11:40
140000.0,2,1842.0,13,18,1991,76.0,39.0,None,Старонаводницька,10 лютого 2014 р.
78000.0,1,1418.0,7,26,None,55.0,15.0,18.0,Маланюка,*** not found
230000.0,2,2771.0,6,7,1915,83.0,45.0,11.0,Заньковецької,20 липня 2020 р.
178000.0,2,2373.0,2,16,None,75.0,None,21.0,Кудрявська,*** not found
63000.0,3,900.0,23,23,None,70.0,35.0,14.0,,*** not found
495000.0,3,4420.0,11,32,2017,112.0,45.0,54.0,Українки,23 січня 2020 р.
45900.0,2,478.0,31,34,None,96.0,62.0,16.0,,*** not found
33000.0,1,1000.0,14,24,None,33.0,16.0,5.0,Милославська,*** not found
66500.0,3,1147.0,3,5,1961,58.0,42.0,7.0,Донця,15 вересня 2020 р.
119900.0,3,1462.0,8,12,2002,82.0,48.0,14.0,Верховинця,2 вересня 2020 р.
145000.0,4,1381.0,1,9,1977,105.0,80.0,12.0,Героїв Дніпра,30 червня 2020 р.
118000.0,3,1494.0,17,25,2018,79.0,36.0,35.0,Каховська,26 серпня 2020 р.
41000.0,1,1323.0,21,26,2018,31.0,12.0,8.0,Каховська,5 лютого
59899.0,2,1070.0,8,10,1995,56.0,34.0,8.0,Вишняківська,15 травня 2020 р.
177000.0,2,2565.0,3,4,None,69.0,41.0,8.0,Липська,*** not found
63000.0,1,1286.0,11,25,2019,49.0,16.0,16.0,Сверстюка,4 березня 2020 р.
499000.0,3,4229.0,None,None,None,118.0,None,None,Драгомирова,21 вересня 2020 р.
49500.0,1,1269.0,19,26,None,39.0,17.0,11.0,Причальна,*** not found
275000.0,2,4435.0,22,28,2013,62.0,30.0,20.0,Болсуновська,8 жовтня 2020 р.
93000.0,3,1336.0,13,14,1994,None,48.0,None,Повітрофлотський,12 жовтня 2020 р.
87500.0,2,1306.0,20,25,2015,67.0,37.0,14.0,Драгоманова,15 грудня 2020 р.
110000.0,3,1325.0,4,24,2008,83.0,None,30.0,Григоренка,23 жовтня 2020 р.
900000.0,4,3600.0,23,24,2012,250.0,None,None,Дніпровська,10 вересня 2019 р.
86000.0,1,2205.0,3,8,2014,39.0,None,None,Жабаєва,1 липня 2020 р.
335000.0,3,2577.0,9,14,2014,130.0,60.0,60.0,Філатова,25 червня 2020 р.
67000.0,2,971.0,3,26,2021,69.0,25.0,21.0,Правди,*** not found
90000.0,2,1800.0,4,4,1896,50.0,None,6.0,Малопідвальна,19 липня 2018 р.
101500.0,1,2307.0,8,11,None,44.0,22.0,13.0,Бойчука,*** not found
104000.0,3,1169.0,18,26,None,89.0,None,40.0,Зарічна,*** not found
190000.0,2,3167.0,9,21,2017,60.0,None,25.0,Предславинська,15 лютого
3600000.0,6,8000.0,25,25,2011,450.0,288.0,45.0,Івана Мазепи,28 лютого
63000.0,2,1033.0,10,26,None,61.0,28.0,12.0,Радченка,*** not found
680000.0,7,2369.0,21,21,2010,287.0,177.0,None,Лабораторний,6 вересня 2018 р.
139000.0,2,1829.0,20,21,2018,76.0,31.0,19.0,Конєва,12 серпня 2020 р.
347700.0,4,1900.0,4,25,2011,183.0,100.0,17.0,Шаповала,24 липня 2020 р.
85000.0,2,1328.0,4,24,None,64.0,30.0,20.0,Дніпровська,*** not found
35600.0,1,989.0,10,26,None,36.0,15.0,12.0,Клеманська,*** not found
85000.0,3,1133.0,9,15,1999,75.0,42.0,8.0,Григоренка,8 лютого
46000.0,1,1022.0,4,5,1963,45.0,None,10.0,Туполєва,7 грудня 2020 р.
125000.0,2,2358.0,3,4,1860,53.0,42.0,5.0,Хмельницького,3 вересня 2015 р.
530000.0,3,3926.0,4,15,2017,135.0,50.0,40.0,Саперне Поле,25 червня 2020 р.
229000.0,3,2140.0,7,25,2007,107.0,50.0,None,Героїв Сталінграда,2 березня 2016 р.
117000.0,3,1401.0,14,26,None,None,None,None,Дніпровська,*** not found
110000.0,2,2000.0,3,9,1971,55.0,None,None,Тарасівська,13 жовтня 2020 р.
92900.0,3,1021.0,4,5,1956,91.0,56.0,11.0,Краківська,23 липня 2020 р.
77500.0,1,1845.0,5,9,2018,42.0,17.0,15.0,Юнацька,21 січня 2020 р.
40500.0,1,1067.0,4,26,None,None,None,None,Клеманська,*** not found
136000.0,3,1462.0,2,16,1998,93.0,50.0,28.0,Героїв Сталінграда,12 січня
499000.0,3,4229.0,None,None,None,118.0,None,None,Драгомирова,21 вересня 2020 р.
220000.0,2,2619.0,3,8,1948,84.0,52.0,13.0,*** not found,31 серпня 2020 р.
125000.0,3,1147.0,23,26,2011,109.0,83.0,16.0,Драгоманова,6 жовтня 2020 р.
100000.0,2,1818.0,None,None,1958,55.0,None,None,Українки,2 листопада 2020 р.
80000.0,1,2581.0,22,25,2018,31.0,14.0,14.0,Тимошенка,25 лютого
57000.0,3,851.0,5,9,1985,67.0,None,None,Маяковського,30 грудня 2020 р.
170000.0,2,1932.0,3,9,2005,88.0,44.0,22.0,Дмитрівська,10 червня 2020 р.
59750.0,2,996.0,14,15,1980,60.0,53.0,10.0,Курбаса,30 жовтня 2020 р.
42678.6,1,1094.3,16,16,None,39.0,12.0,14.0,Комарова,*** not found
92000.0,2,1227.0,2,25,2015,75.0,38.0,15.0,Драгоманова,20 червня 2020 р.
115000.0,2,1597.0,4,32,2019,72.0,None,14.0,Драгомирова,6 лютого
54000.0,1,1227.0,18,25,2019,44.0,None,None,Моторний,16 січня
45500.0,1,929.0,2,9,1995,49.0,14.0,24.0,Милославська,7 лютого
91500.0,1,2288.0,11,11,2020,40.0,20.0,12.0,Бойчука,*** not found
60500.0,3,818.0,4,9,1990,74.0,None,None,Закревського,2 червня 2020 р.
250000.0,1,4630.0,7,25,2019,54.0,15.0,20.0,Івана Федорова,20 червня 2020 р.
78000.0,2,1773.0,3,9,1966,44.0,None,None,Філатова,17 березня 2020 р.
130000.0,2,1625.0,6,25,2010,80.0,None,14.0,Перемоги,17 лютого
84999.0,4,885.0,7,16,1986,96.0,None,13.0,Миропільська,11 лютого 2014 р.
83000.0,3,856.0,1,22,2007,97.0,65.0,14.0,Григоренка,13 серпня 2020 р.
129999.0,2,2063.0,6,9,2018,63.0,30.0,15.0,Юнацька,22 лютого
70000.0,3,729.0,4,4,1946,96.0,None,None,Вишгородська,3 липня 2020 р.
36000.0,1,1200.0,5,9,None,30.0,13.0,10.0,Жолудєва,*** not found
210000.0,3,1409.0,7,12,2001,149.0,87.0,16.0,Павлівська,8 вересня 2020 р.
85900.0,3,1263.0,6,8,1964,68.0,47.0,6.0,Голосіївський,1 вересня 2020 р.
108000.0,1,2160.0,2,25,2019,50.0,30.0,10.0,Осокорська,14 січня
120000.0,3,1395.0,10,24,None,86.0,40.0,17.0,Вишгородська,*** not found
221000.0,2,3400.0,8,10,None,65.0,None,None,Драгомирова,*** not found
60000.0,1,1818.0,5,5,1962,33.0,None,16.0,Тютюнника,16 листопада 2020 р.
165000.0,2,2845.0,6,24,2015,58.0,25.0,22.0,Маккейна,13 серпня 2020 р.
200000.0,5,1481.0,4,4,1917,135.0,None,None,Івана Мазепи,21 березня 2020 р.
145000.0,2,1933.0,5,24,2007,75.0,44.0,14.0,Героїв Сталінграда,17 березня 2020 р.
199000.0,3,2488.0,2,25,2018,80.0,33.0,22.0,Липківського,18 грудня 2020 р.
186117.4,1,3579.2,None,None,None,52.0,None,None,*** not found,*** not found
199000.0,2,2073.0,10,25,2005,96.0,43.0,16.0,Коновальця,2 вересня 2020 р.
50700.0,1,1300.0,6,14,2019,39.0,25.0,8.0,Максимовича,26 січня
185000.0,2,2256.0,5,21,2015,82.0,61.0,12.0,Зарічна,6 жовтня 2020 р.
152000.0,2,1667.0,24,25,2008,None,41.0,None,Голосіївська,22 серпня 2020 р.
92000.0,3,965.0,1,25,None,None,48.0,16.0,Ясинуватський,*** not found
49387.4,1,881.9,None,None,None,56.0,None,None,*** not found,*** not found
56500.0,1,1749.0,5,7,2019,None,21.0,5.0,Колоса,*** not found
80000.0,1,2105.0,11,21,2017,38.0,12.0,15.0,Правди,8 липня 2020 р.
480000.0,4,2609.0,5,6,1915,184.0,108.0,34.0,Велика Васильківська,14 лютого 2014 р.
59000.0,2,1157.0,2,12,1981,51.0,None,None,Голосіївський,25 січня
149632.1,1,3183.6,None,None,None,47.0,None,None,*** not found,*** not found
147075.0,2,2228.0,9,11,None,66.0,None,None,Бойчука,*** not found
86860.0,2,905.0,10,10,2017,96.0,44.0,23.0,Центральна,20 листопада 2020 р.
97000.0,2,1260.0,16,22,2018,77.0,None,None,Ясинуватський,30 червня 2020 р.
55000.0,2,1222.0,13,16,1980,45.0,None,11.0,Райдужна,сьогодні о 08:45
138000.0,2,1811.0,3,15,2014,None,None,None,Ломоносова,11 січня
105000.0,2,1504.0,4,25,2014,None,None,None,,8 квітня 2019 р.
66016.1,1,1784.2,None,None,None,37.0,None,None,*** not found,*** not found
284000.0,2,2812.0,7,11,2004,101.0,None,None,Гусовського,25 вересня 2018 р.
155000.0,3,1550.0,13,23,2006,100.0,None,None,Окіпної,24 листопада 2020 р.
49899.0,1,1386.0,1,9,1978,36.0,18.0,7.0,Багговутівська,10 січня
95000.0,2,1696.0,9,9,1966,56.0,34.0,8.0,Дружби Народів,19 листопада 2020 р.
380000.0,3,3585.0,9,21,2019,106.0,None,None,Маккейна,7 липня 2020 р.
46000.0,2,913.0,1,4,None,None,30.0,12.0,Маланюка,*** not found
60150.0,1,1504.0,21,26,None,40.0,14.0,20.0,Михайла Котельникова,*** not found
185000.0,3,1745.0,8,25,2016,106.0,None,38.0,Героїв Севастополя,6 листопада 2020 р.
81000.0,2,964.0,18,26,2020,84.0,37.0,17.0,Маланюка,*** not found
620000.0,3,4769.0,4,15,2017,130.0,66.0,16.0,Саперне Поле,24 січня 2020 р.
48700.0,1,991.0,19,25,None,None,None,None,Балтійський,*** not found
234000.0,3,2000.0,7,15,None,117.0,76.0,12.0,Кудрявська,*** not found
135000.0,2,2523.0,28,34,2018,None,None,None,Перемоги,19 листопада 2020 р.
130000.0,2,2600.0,1,5,1964,50.0,None,12.0,Німанська,11 лютого 2020 р.
54100.0,1,1339.0,4,26,2018,None,None,None,Каховська,15 грудня 2020 р.
239000.0,3,3025.0,3,7,1954,79.0,44.0,13.0,Малопідвальна,23 серпня 2019 р.
140000.0,2,2188.0,10,14,None,64.0,34.0,15.0,Невська,*** not found
128000.0,2,2612.0,5,14,2015,49.0,14.0,17.0,Златоустівська,13 липня 2020 р.
31000.0,1,1107.0,9,9,1986,28.0,13.0,6.0,,25 грудня 2020 р.
41187.0,1,936.0,3,13,None,44.0,19.0,11.0,Берковецька,*** not found
120000.0,3,1188.0,11,16,1998,101.0,None,14.0,Бажана,19 серпня 2020 р.
740000.0,1,2772.0,20,24,2019,267.0,150.0,75.0,Антоновича,25 листопада 2020 р.
180000.0,3,2400.0,3,8,1990,75.0,41.0,9.0,*** not found,9 лютого
63000.0,3,900.0,1,9,1973,70.0,41.0,8.0,Гречка,26 серпня 2020 р.
126000.0,2,1658.0,15,32,2020,76.0,41.0,14.0,Микільсько-Слобідська,26 червня 2020 р.
80000.0,2,1067.0,6,26,None,75.0,27.0,21.0,Правди,*** not found
98000.0,1,1750.0,None,None,2018,56.0,22.0,19.0,Тимошенка,11 лютого
150000.0,2,1807.0,16,23,2003,83.0,None,None,Павла Тичини,27 січня
100000.0,3,1000.0,8,17,2003,100.0,64.0,14.0,Олевська,25 вересня 2020 р.
120000.0,3,1237.0,2,21,2016,97.0,52.0,20.0,Освіти,17 листопада 2020 р.
41000.0,1,1464.0,9,9,1969,28.0,17.0,5.0,Іллєнка,29 січня
135000.0,1,1552.0,15,22,2012,87.0,15.0,40.0,Дніпровська,16 липня 2020 р.
155000.0,3,1742.0,4,4,1917,89.0,None,13.0,Івана Мазепи,20 січня
90000.0,3,1286.0,5,16,1974,70.0,46.0,7.0,Українки,20 січня
132000.0,2,1347.0,1,6,2016,98.0,32.0,18.0,Данченка,12 червня 2020 р.
230000.0,None,4600.0,None,None,None,50.0,None,None,Драгомирова,7 червня 2019 р.
185000.0,3,2011.0,18,25,2017,92.0,None,None,Тбіліський,21 березня 2020 р.
70500.0,2,1203.0,20,26,2020,None,28.0,None,Каховська,28 січня
87000.0,3,915.0,9,19,2019,None,52.0,None,Ушинського,15 серпня 2020 р.
185000.0,3,1637.0,8,24,2007,113.0,None,None,Урлівська,6 жовтня 2020 р.
49860.0,2,997.0,2,9,1974,50.0,30.0,6.0,Світлицького,14 липня 2020 р.
100000.0,2,1408.0,15,23,2007,71.0,30.0,12.0,Дніпровська,16 червня 2020 р.
90000.0,1,1800.0,3,25,None,50.0,25.0,None,Липківського,*** not found
152000.0,2,1949.0,14,30,2020,78.0,37.0,12.0,Микільсько-Слобідська,17 вересня 2020 р.
159900.0,3,1259.0,15,25,2007,127.0,77.0,None,Лобановського,25 лютого
280000.0,3,2137.0,8,9,2005,131.0,75.0,25.0,Героїв Сталінграда,21 березня 2020 р.
85000.0,1,1545.0,6,25,2007,55.0,24.0,13.0,Дніпровська,9 січня
